"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
"CROMPTON","252.00","256.00","4.00","1.59","256.00","41,962","1.07","16,399.94","337.50","217.40"
"MANAPPURAM","349.25","354.50","5.25","1.50","354.50","1,33,061","4.72","19,402.47","381.55","245.15"
"HINDZINC","573.90","582.00","8.10","1.41","582.00","60,044","3.49","27,910.45","733.00","418.00"
"MUTHOOTFIN","2,970.00","3,009.60","39.60","1.33","3,009.60","11,676","3.51","32,185.01","4,149.50","2,604.20"
"LODHA","1,240.00","1,254.00","14.00","1.13","1,254.00","9,217","1.16","34,695.61","1,344.95","650.80"
"SHRIRAMFIN","1,128.20","1,140.00","11.80","1.05","1,140.00","42,361","4.83","1,59,218.75","1,153.70","566.50"
"BLUESTARCO","1,510.00","1,525.20","15.20","1.01","1,525.20","1,955","0.30","19,733.76","2,040.00","1,450.00"
"BEL","409.40","413.45","4.05","0.99","413.45","1,34,875","5.58","1,47,671.20","473.45","361.20"
"JUBLFOOD","507.30","512.15","4.85","0.96","512.15","5,732","0.29","19,990.38","667.75","408.55"
"PREMIERENE","1,040.00","1,050.00","10.00","0.96","1,050.00","6,960","0.73","12,439.21","1,134.00","660.00"
"BAJFINANCE","1,095.00","1,105.40","10.40","0.95","1,105.40","52,279","5.78","2,95,443.29","1,176.40","787.90"
"GMRAIRPORT","100.41","101.30","0.89","0.89","101.30","50,327","0.51","35,953.92","115.64","84.11"
"VEDL","268.00","270.30","2.30","0.86","270.30","51,316","1.39","45,708.59","795.00","249.70"
"CONCOR","519.00","523.00","4.00","0.77","523.00","1,359","0.07","18,004.42","569.80","421.45"
"PIIND","2,482.50","2,500.00","17.50","0.70","2,500.00","612","0.15","20,197.59","3,917.80","2,457.00"
"EICHERMOT","8,042.00","8,095.00","53.00","0.66","8,095.00","3,813","3.09","1,11,259.33","8,230.00","5,880.00"
"PATANJALI","352.30","352.30","2.30","0.66","352.30","13,201","0.47","12,170.26","615.00","328.20"
"ADANIGREEN","1,301.80","1,310.20","8.40","0.65","1,310.20","8,362","1.10","43,802.92","1,631.50","765.00"
"TIINDIA","2,930.00","2,949.00","19.00","0.65","2,949.00","317","0.09","31,422.44","3,419.90","2,164.90"
"LICI","419.00","421.70","2.70","0.64","421.70","32,939","1.39","18,670.76","468.48","360.75"
"ETERNAL","327.95","330.00","2.05","0.63","330.00","2,48,463","8.20","2,37,907.04","368.45","212.60"
"SUNPHARMA","1,904.00","1,916.00","12.00","0.63","1,916.00","5,749","1.10","2,02,313.53","2,046.90","1,548.00"
"SWIGGY","279.00","280.75","1.75","0.63","280.75","19,915","0.56","39,735.12","474.00","235.75"
