"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"BRITANNIA",5527.5,5533,5342,5548,5365,-3.3,704494,3783013016.02,"31-Jul-2026"
"KEI",5700,5744,5492.6,5675,5527.6,-2.6,289585,1609417866.95,"28-Jan-2026"
"TORNTPHARM",5005.5,5031,4882.5,5005,4896.5,-2.17,226264,1114207653.68,"29-May-2026"
"CUMMINSIND",5116,5218,5092,5205,5107.5,-1.87,753737,3862284060.66,"17-Jul-2026"
"VBL",438.3,441.6,430.1,438.3,430.1,-1.87,2399879,1040779524.72,"31-Jul-2026"
"MARUTI",13809,13809,13565,13809,13565,-1.77,224951,3071269500.06,"07-Aug-2026"
"POLYCAB",9145,9175,8956,9125,8966,-1.74,317848,2865631749.04,"19-Jun-2026"
"TRENT",2970,2976.6,2914,2970,2924,-1.55,522242,1532759380.32,"12-Jun-2026"
"BSE",3252,3285,3223,3291.1,3241,-1.52,6640651,21541342152.86,"10-Jul-2026"
"TIINDIA",2949,2949,2843.9,2930,2885.8,-1.51,225979,652688366.33,"07-Aug-2026"
"GODREJCP",944.4,945.8,928,947,933,-1.48,1613709,1508188568.49,"13-Aug-2026"
"LTM",4500,4500,4414.8,4553,4487.8,-1.43,620293,2769043778.37,"25-May-2026"
"CHOLAFIN",1888.9,1890.1,1855,1888.9,1862.9,-1.38,902331,1681105816.17,"21-Jul-2026"
"DMART",3979.8,3990,3866.4,3960,3906,-1.36,417784,1629177952.88,"09-Aug-2021"
"LAURUSLABS",1825,1836.4,1790.3,1825,1802,-1.26,1401995,2532002970,"08-May-2026"
"OIL",480.9,482,475,480.9,475,-1.23,1163337,555307283.58,"18-Feb-2026"
"PNB",117.45,117.52,115.41,118,116.55,-1.23,14049357,1632535283.4,"12-Jun-2026"
"HCLTECH",1319.9,1321.7,1302.5,1318.4,1302.5,-1.21,1484443,1944204685.96,"17-Jul-2026"
"RADICO",4705,4724,4615,4696,4639.8,-1.2,174125,808384018.75,"24-Jul-2026"
"RVNL",227.9,231.38,225.3,227.9,225.3,-1.14,2620850,598104178.5,"18-Aug-2026"
