"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"RELIANCE",1285,1325.2,1281.2,1280,1325,3.52,20203425,26530127538.75,"05-Jun-2026"
"SBIN",1052.5,1088.1,1052.5,1055,1085,2.84,13817526,14831594233.14,"15-May-2026"
"BEL",389.65,400.9,388.65,390,399.2,2.36,17566215,6972733382.1,"06-Mar-2026"
"ETERNAL",311,319.7,310,310.35,316.25,1.9,29949718,9484776193.42,"-"
"TITAN",4883.9,5005,4883.9,4912.4,4998,1.74,1283831,6385672687.52,"09-Jul-2026"
"SHRIRAMFIN",1130,1153.7,1120,1122.4,1141,1.66,12605067,14367381417.27,"03-Jul-2026"
"CIPLA",1461,1488.1,1461,1458.8,1477,1.25,1462225,2161768062.25,"05-Jun-2026"
"NESTLEIND",1531.9,1535,1518.2,1520,1535,0.99,1666152,2542731228.72,"10-Jul-2026"
"APOLLOHOSP",8947,9015,8880,8910,8974.5,0.72,399826,3577283204.6,"16-Feb-2026"
"SUNPHARMA",1930,1965.9,1930,1940,1951,0.57,1864666,3643687890.62,"07-Jul-2026"
"ICICIBANK",1460,1460,1448.3,1450.1,1457.5,0.51,14648895,21323956984.65,"03-Aug-2026"
"JIOFIN",262.2,266.35,260.3,261.95,263.1,0.44,15767759,4165053539.85,"10-Aug-2026"
"AXISBANK",1256.1,1259.9,1248.3,1253.9,1256,0.17,4845324,6083788814.4,"10-Jul-2026"
"LT",4056,4070,4045,4057,4061.8,0.12,1401255,5687525894.4,"22-May-2026"
"COALINDIA",414.5,415.75,412.15,415.5,415.6,0.02,4750954,1965944765.2,"31-Jul-2026"
