"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"POWERGRID",279.75,281,269.65,281.75,270.75,-3.9,18251707,4971034918.52,"09-Feb-2026"
"TATASTEEL",193.45,193.65,188.99,192.99,189.3,-1.91,18798177,3584624372.13,"12-Jun-2026"
"TCS",2417,2434.5,2368.5,2413,2373,-1.66,2727969,6528302613.9,"15-Jul-2026"
"JSWSTEEL",1330,1335,1303.5,1330,1307.9,-1.66,2307583,3040286754.16,"07-Jul-2026"
"BAJAJ-AUTO",11748,11778,11549,11800,11620,-1.53,250125,2913563553.75,"24-Jun-2026"
"BHARTIARTL",1969,1970,1944.3,1978,1948,-1.52,5325588,10426649209.92,"24-Jul-2026"
"INDIGO",5400.5,5424,5315,5400,5318.5,-1.51,486041,2609267364.81,"13-Aug-2025"
"KOTAKBANK",397.25,398.8,393.75,400,394,-1.5,10377532,4106908289,"17-Jul-2026"
"M&M",3449,3449,3406,3455.4,3406,-1.43,1655399,5666794964.78,"03-Jul-2026"
"NTPC",347.5,349.25,343.1,349.9,345,-1.4,10077827,3472919962.47,"06-Feb-2026"
"TMPV",349,349,343,349.8,345.35,-1.27,5209527,1799162244.72,"19-Jun-2026"
"HINDALCO",1044,1044,1016,1040,1027,-1.25,6345523,6507778023.11,"10-Jul-2026"
"BAJFINANCE",1155.5,1160.2,1144.6,1158.8,1144.8,-1.21,6467007,7455553690.02,"30-Jun-2026"
"HCLTECH",1349.9,1363.2,1332.5,1350,1335,-1.11,3818332,5113777497.64,"17-Jul-2026"
"TECHM",1655,1670,1631,1650,1632.2,-1.08,3585778,5894086729.72,"03-Jul-2026"
"ONGC",241.4,241.4,236.5,240.2,237.8,-1,13926554,3308949230.4,"18-Feb-2026"
"SBILIFE",1870,1886,1860.3,1879.9,1861.5,-0.98,474089,886309385.5,"06-Mar-2026"
"ULTRACEMCO",12190,12204,12011,12190,12075,-0.94,208292,2524932287.36,"30-Jul-2026"
"ADANIENT",3050,3072.4,3025.7,3050,3026,-0.79,842406,2564022718.14,"12-Jun-2026"
"MARUTI",14181,14181,13985,14190,14080,-0.78,333288,4686085938.96,"07-Aug-2026"
