"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"ASTRAL",1499,1600,1491,1464,1592,8.74,12371579,19471504472.31,"14-Aug-2026"
"SOLARINDS",18843,20400,18744,18730,20324,8.51,704549,13850242652.19,"28-Jul-2026"
"CONCOR",514.65,535.5,513.7,512.05,533.65,4.22,4783981,2534983692.09,"04-Aug-2026"
"GODREJCP",911.4,939,906.3,910,936.9,3.52,6814508,6304714656.52,"13-Aug-2026"
"APLAPOLLO",1990.9,2073,1989.4,1997.1,2064.3,3.36,825819,1688345654.55,"22-Aug-2025"
"RADICO",4533,4675.2,4525.2,4533,4675.2,3.14,400827,1849331604.33,"24-Jul-2026"
"KALYANKJIL",601.5,619.8,593.2,596.7,613.4,2.8,16165679,9849586557.91,"04-Sep-2025"
"AMBER",7015,7189,6965,6985,7175,2.72,611964,4334902070.76,"02-Aug-2024"
"TATACONSUM",1061.9,1095,1058.2,1061.9,1090.5,2.69,1827014,1976427204.92,"25-May-2026"
"BDL",1330,1379.5,1329,1340,1375.5,2.65,4154401,5669095604.6,"09-Feb-2026"
"OBEROIRLTY",1797.9,1852.1,1776.3,1799.9,1846,2.56,824579,1502910668.56,"23-Jul-2026"
"PAYTM",1610.2,1649.5,1597.7,1610,1649.5,2.45,3077608,5007268216,"-"
"LODHA",1209,1244.7,1200.4,1209,1232.3,1.93,1227769,1509247320.94,"07-Aug-2026"
"TMPV",343.5,351.55,342.45,343,349.6,1.92,9528820,3321270211,"19-Jun-2026"
"PRESTIGE",1591.4,1618.9,1569,1590.7,1618.9,1.9,468924,750723877.8,"13-Aug-2026"
"360ONE",1158,1184.9,1149.2,1161,1183,1.89,388858,456484294.78,"27-Apr-2026"
"KPITTECH",611.8,621.9,608,609.2,620.5,1.85,1038244,640212397.72,"12-Aug-2026"
"TATAELXSI",3719.8,3781.2,3702,3711.9,3778,1.78,142023,533936888.73,"10-Jun-2026"
"DIXON",13840,14065,13645,13800,14035,1.7,433433,6009383840.46,"16-Sep-2025"
"OIL",473,480.3,469.2,472,479.8,1.65,1972181,941400878.54,"18-Feb-2026"
