"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"NATIONALUM",410.5,413.65,400,420,400.5,-4.64,9738984,3962987369.28,"08-May-2026"
"PAGEIND",37980,38155,36410,38295,36520,-4.64,121002,4510483862.22,"27-May-2026"
"FORCEMOT",19350,19448,18383,19269,18525,-3.86,131537,2475222489.53,"10-Sep-2025"
"ZYDUSLIFE",1201,1202.9,1163.5,1205,1167.3,-3.13,1606705,1884632830.9,"24-Jul-2026"
"SAIL",173.7,173.99,167.25,174,168.68,-3.06,9635610,1639402685.4,"08-Sep-2025"
"HINDALCO",1072.3,1073,1040,1078.5,1046.25,-2.99,4983399,5238100522.89,"10-Jul-2026"
"SBICARD",649.95,655.75,640,656.6,641,-2.38,3890055,2516009772.9,"11-Mar-2026"
"GVT&D",4408,4424.9,4278,4406.5,4304.7,-2.31,914769,3948701013.09,"21-Aug-2026"
"OFSS",11650,11686,11350,11679,11420,-2.22,116582,1340176541.74,"07-May-2026"
"TIINDIA",2847,2848.3,2727,2839,2780,-2.08,323717,893837668.89,"07-Aug-2026"
"GODFRYPHLP",2196,2198.8,2160,2199,2160,-1.77,131197,285011050.83,"11-Aug-2026"
"KAYNES",3832,3849,3741.2,3828,3760.5,-1.76,741790,2799678653.8,"08-Sep-2023"
"ICICIBANK",1429,1429,1406.4,1431.7,1406.8,-1.74,11408206,16107017887.28,"03-Aug-2026"
"BIOCON",424.1,425.3,416.2,427.4,420,-1.73,4627924,1942756215.96,"03-Jul-2026"
"VEDL",276.2,276.9,268.75,275.8,271.1,-1.7,8900356,2420985835.56,"30-Apr-2026"
"ULTRACEMCO",11875,11905,11570,11891,11706,-1.56,309798,3614044606.38,"30-Jul-2026"
"GRASIM",3299.3,3299.3,3201,3307.8,3257,-1.54,1041544,3379435324.16,"07-Aug-2026"
"GMRAIRPORT",106.86,106.9,102.32,104.55,103,-1.48,15866371,1643914699.31,"05-Sep-2024"
"LUPIN",2268,2278,2250.3,2281,2250.3,-1.35,583016,1317744423.52,"17-Jul-2026"
"UNITDSPR",1520.5,1532.7,1515,1535,1515,-1.3,311422,475096060.54,"08-Jul-2026"
