"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"TIINDIA",2755.8,2989,2755.8,2741.4,2959,7.94,4188005,12284381906.15,"07-Aug-2026"
"BOSCHLTD",47010,48940,46775,46970,48730,3.75,93891,4528419264.6,"04-Aug-2026"
"MCX",2949.9,3058,2916,2933.1,3040,3.64,3187586,9616054437.92,"02-Jan-2026"
"LTF",314,325.8,307.55,315,325.1,3.21,10165537,3254090049.07,"22-May-2026"
"IDEA",13.65,14.31,13.5,13.71,14.12,2.99,820797167,11409080621.3,"20-Aug-2024"
"SONACOMS",806.5,827.35,806,805.1,824,2.35,2864893,2343912207.95,"25-Jun-2026"
"ALKEM",5374,5510,5374,5374,5475,1.88,127028,695047675.08,"07-Aug-2026"
"COCHINSHIP",1460.9,1501.6,1457,1457.8,1485.1,1.87,1360896,2025652869.12,"03-Feb-2026"
"PIIND",2490,2545,2458.6,2472,2515,1.74,623898,1551865168.26,"07-Aug-2026"
"APLAPOLLO",2082,2122,2075.1,2081.3,2115,1.62,418384,880376164.32,"22-Aug-2025"
"PETRONET",281.8,286.95,281.8,281.8,286.25,1.58,2933102,836960655.7,"12-Jun-2026"
"TORNTPHARM",4900,5009,4876,4900,4971,1.45,426573,2123369485.02,"29-May-2026"
"SOLARINDS",20100,20422,20030,20000,20280,1.4,178203,3599148170.7,"28-Jul-2026"
"MOTHERSON",168.1,170.9,168.1,168.06,170.4,1.39,12696084,2157318593.28,"14-Jul-2026"
"BIOCON",413.5,421.6,412.2,412,417.5,1.33,2691030,1126734261,"03-Jul-2026"
"AXISBANK",1223.9,1250.5,1223.4,1227.3,1243,1.28,5064697,6282250158.8,"10-Jul-2026"
"VBL",434.9,443.3,434.6,433.85,439.3,1.26,4034092,1773064115.84,"31-Jul-2026"
"DIVISLAB",8510,8630,8504,8481.5,8588,1.26,404163,3468373284.06,"24-Jul-2026"
"AMBER",7265,7408,7252,7259,7350,1.25,578175,4231720642.5,"02-Aug-2024"
"OIL",480,487.2,478.7,474.65,480.5,1.23,5000847,2414808999.36,"18-Feb-2026"
