"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"POWERINDIA",35100,35100,33360,35275,33800,-4.18,186593,6314797859.59,"21-Aug-2026"
"ADANIENSOL",1604.8,1604.8,1536.5,1603,1540.7,-3.89,3477602,5403254555.46,"14-Jun-2024"
"CGPOWER",885.85,886,860.2,894.2,863.05,-3.48,4061889,3523688707.5,"30-Jan-2026"
"BDL",1393,1401.7,1347.4,1393,1349,-3.16,1670098,2275809142.64,"09-Feb-2026"
"LTF",327,327,312.75,325.1,315.4,-2.98,14527880,4597347626,"22-May-2026"
"SOLARINDS",20080,20140,19550,20280,19721,-2.76,197246,3891738533.48,"28-Jul-2026"
"PAGEIND",36440,36460,35240,36425,35240,-2.72,40937,1457979851.77,"19-Aug-2026"
"GLENMARK",2301,2313.9,2222.5,2305,2246.5,-2.54,833583,1879321209.33,"31-Aug-2026"
"CUMMINSIND",5301.5,5347,5206.5,5350,5220,-2.43,321107,1686826448.12,"17-Jul-2026"
"MFSL",1576.6,1578.5,1546.1,1584.5,1546.1,-2.42,286908,447912162.36,"16-Aug-2024"
"VOLTAS",1250,1251.9,1217,1252.9,1223,-2.39,1178662,1444438494.38,"12-Jun-2026"
"GVT&D",4152.6,4160.7,4041.3,4195,4100,-2.26,1124808,4607382289.2,"21-Aug-2026"
"MCX",3060,3068,2960.1,3040,2973,-2.2,3238717,9724863148.73,"02-Jan-2026"
"SUZLON",47.7,47.76,46.7,47.78,46.77,-2.11,47341396,2225519025.96,"03-Sep-2024"
"FORCEMOT",18250,18299,17718,18200,17837,-1.99,66917,1197533917.77,"10-Sep-2025"
"SRF",2624.4,2628.9,2562.3,2630,2578.6,-1.95,267803,692458217.1,"28-Jul-2026"
"MANAPPURAM",345.55,346.6,336.4,346.6,340,-1.9,4290224,1457389092.8,"17-Aug-2026"
"KEI",5790.4,5790.4,5646.4,5790,5681.1,-1.88,306096,1741530131.04,"28-Jan-2026"
"ASHOKLEY",175,176.1,173.1,176.35,173.1,-1.84,10072866,1756002729.78,"03-Jun-2026"
"MAXHEALTH",1016,1016.9,994.1,1014.4,997,-1.72,1320461,1326323846.84,"03-Jul-2026"
