"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
"VMM","103.43","109.20","5.77","5.58","109.20","4,99,098","5.45","30,406.28","157.60","98.77"
"HINDALCO","1,034.00","1,047.95","13.95","1.35","1,047.95","27,861","2.92","1,51,308.24","1,176.00","697.00"
"NATIONALUM","394.45","398.45","5.00","1.27","398.45","46,806","1.86","35,630.97","445.15","183.86"
"AMBER","7,350.00","7,435.00","85.00","1.16","7,435.00","4,917","3.66","16,202.13","8,974.00","5,400.50"
"MUTHOOTFIN","3,022.00","3,056.00","34.00","1.13","3,056.00","4,316","1.32","32,681.22","4,149.50","2,604.20"
"KAYNES","3,890.00","3,930.00","40.00","1.03","3,930.00","8,103","3.18","12,259.26","7,705.00","2,995.00"
"DIXON","14,850.00","15,000.00","150.00","1.01","15,000.00","5,821","8.73","62,114.32","18,471.00","9,600.00"
"LICI","422.25","426.00","3.75","0.89","426.00","75,368","3.21","18,861.14","468.48","360.75"
"KALYANKJIL","603.55","608.50","4.95","0.82","608.50","17,752","1.08","23,316.47","648.95","327.05"
"SAIL","173.46","174.80","1.34","0.77","174.80","38,697","0.68","25,199.87","209.70","118.10"
"HDFCBANK","726.95","732.50","5.55","0.76","732.50","1,87,238","13.72","11,19,305.38","1,020.50","715.10"
"HYUNDAI","2,218.80","2,235.40","16.60","0.75","2,235.40","2,288","0.51","31,784.75","2,890.00","1,658.00"
"JINDALSTEL","1,127.80","1,135.00","7.20","0.64","1,135.00","2,143","0.24","41,926.25","1,306.20","943.30"
"TATASTEEL","183.00","184.15","1.15","0.63","184.15","97,954","1.80","1,51,794.12","224.40","153.05"
"POWERGRID","272.40","274.00","1.60","0.59","274.00","71,361","1.96","1,23,735.37","324.95","250.00"
"PATANJALI","348.00","350.00","2.00","0.57","350.00","19,978","0.70","12,090.81","615.00","328.20"
"APLAPOLLO","2,139.00","2,149.80","10.80","0.50","2,149.80","426","0.09","39,024.31","2,301.40","1,578.00"
"INOXWIND","73.60","73.97","0.37","0.50","73.97","15,757","0.12","7,112.60","159.30","72.70"
"POWERINDIA","34,190.00","34,360.00","170.00","0.50","34,360.00","147","0.51","43,585.29","38,785.00","16,111.00"
"INFY","1,121.00","1,126.50","5.50","0.49","1,126.50","48,034","5.41","3,94,092.69","1,728.00","982.40"
"MANAPPURAM","357.50","359.25","1.75","0.49","359.25","49,289","1.77","19,662.44","381.55","245.15"
"SBILIFE","1,792.90","1,801.70","8.80","0.49","1,801.70","709","0.13","80,735.00","2,132.00","1,700.40"
"SUPREMEIND","3,642.00","3,660.00","18.00","0.49","3,660.00","91","0.03","23,504.97","4,664.90","3,140.00"
"SUZLON","46.71","46.94","0.23","0.49","46.94","2,84,391","1.33","56,945.12","61.50","38.19"
"ABB","7,424.00","7,460.00","36.00","0.48","7,460.00","245","0.18","39,039.07","7,924.50","4,637.50"
"GMRAIRPORT","99.63","100.11","0.48","0.48","100.11","51,526","0.52","35,531.56","115.64","84.11"
"HINDPETRO","363.25","365.00","1.75","0.48","365.00","20,397","0.74","34,952.90","508.45","316.20"
"JSWENERGY","544.95","547.55","2.60","0.48","547.55","3,960","0.22","33,468.00","617.35","427.75"
"OBEROIRLTY","1,886.00","1,895.00","9.00","0.48","1,895.00","615","0.12","22,242.94","1,986.10","1,391.20"
"MCX","3,185.00","3,200.00","15.00","0.47","3,200.00","6,689","2.14","81,406.04","3,480.00","1,460.80"
"PERSISTENT","5,667.50","5,693.50","26.00","0.46","5,693.50","735","0.42","61,695.87","6,599.00","4,244.50"
"INDUSTOWER","375.75","377.45","1.70","0.45","377.45","9,907","0.37","48,497.31","481.50","312.55"
"ITC","269.40","270.60","1.20","0.45","270.60","52,035","1.41","2,60,126.40","427.00","265.00"
"ADANIENT","2,997.00","3,010.00","13.00","0.43","3,010.00","1,601","0.48","90,113.37","3,245.00","1,753.00"
"MARUTI","13,565.00","13,623.00","58.00","0.43","13,623.00","405","0.55","1,77,222.09","17,370.00","12,201.00"
