"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHANGE 
","%CHANGE 
","FINAL PRICE 
","FINAL VOLUME 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","52 WEEK HIGH 
","52 WEEK LOW 
"
"ATHERENERG","1,616.30","1,655.00","38.70","2.39","1,655.00","1,43,305","23.72","32,602.85","1,717.70","421.60"
"MANKIND","2,382.90","2,407.60","24.70","1.04","2,407.60","259","0.06","27,181.08","2,674.00","1,909.70"
"GLENMARK","2,515.00","2,532.40","19.90","0.79","2,532.40","3,544","0.90","38,026.56","2,537.60","1,792.60"
"OIL","482.85","486.60","3.75","0.78","486.60","14,726","0.72","26,465.08","531.00","384.60"
"IDEA","14.68","14.78","0.10","0.68","14.78","18,52,710","2.74","40,576.88","15.37","6.46"
"ONGC","232.25","233.80","1.55","0.67","233.80","32,590","0.76","90,565.50","307.50","227.65"
"GAIL","171.10","172.20","1.10","0.64","172.20","42,638","0.73","46,319.28","186.87","134.36"
"ADANIENSOL","1,581.40","1,589.00","7.60","0.48","1,589.00","6,863","1.09","52,977.36","1,789.00","744.90"
"HDFCBANK","720.30","723.05","2.75","0.38","723.05","6,49,874","46.99","11,04,865.19","1,020.50","704.15"
"DELHIVERY","470.20","471.95","1.75","0.37","471.95","6,496","0.31","26,371.57","524.00","374.45"
"SAGILITY","46.34","46.50","0.16","0.35","46.50","2,24,048","1.04","10,677.33","57.89","35.83"
"LAURUSLABS","1,938.50","1,945.00","6.50","0.34","1,945.00","17,127","3.33","75,527.65","1,949.00","823.10"
"ICICIGI","1,562.00","1,567.10","5.10","0.33","1,567.10","472","0.07","38,010.81","2,064.90","1,540.00"
"LTM","4,675.00","4,690.00","15.00","0.32","4,690.00","2,016","0.95","43,436.00","6,429.50","3,528.00"
"MOTILALOFS","1,038.30","1,041.30","3.00","0.29","1,041.30","2,606","0.27","16,247.72","1,097.10","614.90"
"COALINDIA","401.00","402.05","1.05","0.26","401.00","25,372","-","95,783.09","491.25","368.65"
"HEROMOTOCO","5,600.00","5,614.00","14.00","0.25","5,614.00","873","0.49","72,693.19","6,388.50","4,671.50"
"PRESTIGE","1,588.00","1,592.00","4.00","0.25","1,592.00","375","0.06","26,779.32","1,805.20","1,090.00"
"ETERNAL","328.00","328.80","0.80","0.24","328.80","1,01,887","3.35","2,37,041.92","368.45","212.60"
"FORTIS","926.75","929.00","2.25","0.24","929.00","1,539","0.14","48,276.59","1,104.30","766.80"
"NHPC","74.82","74.98","0.16","0.21","74.98","29,859","0.22","28,181.76","89.22","71.62"
"AUROPHARMA","1,645.30","1,648.60","3.30","0.20","1,648.60","1,937","0.32","45,505.27","1,717.00","1,016.10"
"POLYCAB","9,088.00","9,105.00","17.00","0.19","9,105.00","486","0.44","48,564.26","10,126.00","6,663.00"
"AMBER","7,675.00","7,689.00","14.00","0.18","7,689.00","531","0.41","16,755.64","8,974.00","5,400.50"
"VMM","107.00","107.18","0.18","0.17","107.18","16,788","0.18","29,843.82","155.32","98.77"
"SWIGGY","280.50","280.95","0.45","0.16","280.95","19,488","0.55","39,763.43","474.00","235.75"
"ADANIPORTS","1,707.50","1,710.00","2.50","0.15","1,710.00","2,652","0.45","1,25,800.40","1,891.10","1,292.00"
"APOLLOHOSP","8,838.50","8,850.00","11.50","0.13","8,850.00","453","0.40","90,820.71","9,050.00","6,696.50"
"MAHABANK","83.80","83.90","0.10","0.12","83.90","32,200","0.27","17,035.78","94.50","51.71"
"PIIND","2,420.10","2,422.90","2.80","0.12","2,422.90","1,447","0.35","19,574.69","3,832.90","2,370.00"
"LICHSGFIN","535.00","535.60","0.60","0.11","535.60","11,658","0.62","16,058.16","598.20","458.90"
"OFSS","12,190.00","12,196.00","6.00","0.05","12,196.00","1,100","1.34","29,008.42","12,540.00","6,234.50"
"HCLTECH","1,316.10","1,316.60","0.50","0.04","1,316.60","5,159","0.68","1,38,418.93","1,780.10","1,030.00"
"MARICO","829.65","830.00","0.35","0.04","830.00","1,657","0.14","43,811.59","889.10","690.30"
"COFORGE","2,014.60","2,015.00","0.40","0.02","2,015.00","14,409","2.90","69,974.73","2,021.20","1,008.10"
"NTPC","330.05","330.10","0.05","0.02","330.10","20,392","0.67","1,56,057.43","414.40","315.55"
"RECLTD","316.80","316.85","0.05","0.02","316.85","10,322","0.33","39,465.98","390.50","304.05"
"GODFRYPHLP","2,123.70","2,124.00","0.30","0.01","2,124.00","695","0.15","8,650.18","3,947.00","1,832.10"
"KFINTECH","949.95","950.05","0.10","0.01","950.05","749","0.07","12,669.66","1,215.00","784.95"
"ALKEM","5,355.00","5,355.00","-","-","5,355.00","96","0.05","31,247.12","5,933.50","5,075.00"
"BAJAJ-AUTO","11,910.00","11,910.00","-","-","11,910.00","714","0.85","1,29,328.86","12,130.00","8,491.50"
"BAJAJHLDNG","11,340.00","11,340.00","-","-","11,340.00","60","0.07","48,961.82","13,880.00","8,588.00"
"BANDHANBNK","168.25","168.25","-","-","168.25","7,775","0.13","15,307.65","220.76","134.25"
"BIOCON","411.10","411.10","-","-","411.10","875","0.04","29,406.54","447.15","337.05"
"BLUESTARCO","1,480.00","1,480.00","-","-","1,480.00","616","0.09","19,148.94","2,040.00","1,450.00"
"BSE","3,405.00","3,405.00","-","-","3,405.00","15,293","5.21","1,38,752.31","4,446.80","2,021.50"
"CROMPTON","233.00","233.00","-","-","233.00","5,844","0.14","14,926.51","337.50","217.40"
"DIVISLAB","9,239.00","9,239.00","-","-","9,239.00","1,908","1.76","1,17,088.72","9,467.00","5,636.50"
"DIXON","14,650.00","14,650.00","-","-","14,650.00","935","1.37","60,664.99","18,471.00","9,600.00"
"DRREDDY","1,178.00","1,178.00","-","-","1,178.00","1,768","0.21","71,608.39","1,414.90","1,101.00"
"FORCEMOT","17,370.00","17,370.00","-","-","17,370.00","236","0.41","8,343.41","26,450.00","14,911.00"
"GRASIM","3,290.00","3,290.00","-","-","3,290.00","492","0.16","1,23,789.91","3,411.10","2,502.50"
"HAVELLS","1,222.90","1,222.90","-","-","1,222.90","936","0.11","30,733.18","1,621.10","1,123.60"
"ICICIBANK","1,422.80","1,422.80","-","-","1,422.80","69,109","9.83","10,16,840.55","1,480.00","1,187.60"
"ICICIPRULI","506.00","506.00","-","-","506.00","583","0.03","19,962.38","706.80","459.50"
"IEX","121.80","121.80","-","-","121.80","13,823","0.17","9,653.24","160.27","114.60"
"INDUSTOWER","380.00","380.00","-","-","380.00","3,096","0.12","48,824.95","481.50","312.55"
"IRFC","83.90","83.90","-","-","83.90","67,496","0.57","16,829.16","137.17","82.90"
"ITC","266.00","266.00","-","-","266.00","49,346","1.31","2,55,704.44","427.00","255.50"
"KAYNES","3,943.10","3,943.00","-0.10","-","3,943.00","2,830","1.12","12,299.81","7,705.00","2,995.00"
"KPITTECH","609.40","609.40","-","-","609.40","10,614","0.65","9,966.49","1,328.00","543.00"
"LTF","314.30","314.30","-","-","314.30","12,844","0.40","26,745.21","338.60","215.26"
"LUPIN","2,171.50","2,171.50","-","-","2,171.50","725","0.16","52,588.09","2,529.50","1,875.00"
"MAZDOCK","2,555.00","2,555.00","-","-","2,555.00","1,604","0.41","19,356.27","3,061.40","2,057.40"
"NAUKRI","1,354.00","1,354.00","-","-","1,354.00","717","0.10","51,697.97","1,433.60","908.30"
"PETRONET","292.00","292.00","-","-","292.00","1,617","-","21,820.15","326.40","235.35"
"PFC","352.00","352.00","-","-","352.00","28,448","1.00","51,111.40","486.50","329.90"
"PHOENIXLTD","1,917.00","1,917.00","-","-","1,917.00","240","0.05","35,690.17","2,169.80","1,465.60"
"POWERGRID","266.05","266.05","-","-","266.05","16,936","0.45","1,20,145.24","324.95","250.00"
"POWERINDIA","33,330.00","33,330.00","-","-","33,330.00","122","0.41","42,278.75","38,785.00","16,111.00"
"PREMIERENE","1,013.90","1,013.90","-","-","1,013.90","1,383","0.14","12,011.53","1,134.00","660.00"
"SOLARINDS","20,400.00","20,400.00","-","-","20,400.00","142","0.29","49,554.69","20,672.00","11,646.00"
"SUZLON","46.79","46.79","-","-","46.79","2,49,715","1.17","56,763.15","61.50","38.19"
"TATAELXSI","3,685.00","3,685.00","-","-","3,685.00","731","0.27","12,651.72","5,950.00","3,353.90"
"TCS","2,342.00","2,342.00","-","-","2,342.00","11,044","2.59","2,38,444.31","3,350.00","1,976.80"
"UNITDSPR","1,510.00","1,510.00","-","-","1,510.00","596","0.09","44,480.92","1,563.40","1,210.80"
"UNOMINDA","1,276.00","1,276.00","-","-","1,276.00","652","0.08","23,144.39","1,382.00","994.00"
"MARUTI","13,376.00","13,375.00","-1.00","-0.01","13,375.00","342","0.46","1,73,995.85","17,370.00","12,201.00"
"NAM-INDIA","1,194.40","1,194.20","-0.20","-0.02","1,194.20","1,340","0.16","21,384.74","1,269.50","780.25"
"360ONE","1,200.00","1,199.60","-0.40","-0.03","1,199.60","590","0.07","31,079.60","1,236.20","906.05"
"DABUR","386.00","385.90","-0.10","-0.03","385.90","4,626","0.18","22,723.21","577.00","381.00"
"POLICYBZR","1,811.50","1,811.00","-0.50","-0.03","1,811.00","399","0.07","62,492.76","1,974.00","1,364.00"
"TORNTPHARM","5,050.00","5,048.00","-2.00","-0.04","5,048.00","977","0.49","73,841.74","5,250.00","3,480.60"
"VBL","414.00","413.85","-0.15","-0.04","413.85","24,941","1.03","56,429.65","555.80","381.00"
"COLPAL","1,826.90","1,826.00","-0.90","-0.05","1,826.00","1,016","0.19","23,986.20","2,504.00","1,782.00"
"KALYANKJIL","615.80","615.50","-0.30","-0.05","615.50","12,242","0.75","23,584.70","648.95","327.05"
"TECHM","1,640.90","1,640.00","-0.90","-0.05","1,640.00","3,462","0.57","1,03,871.12","1,854.00","1,304.10"
"BHEL","430.85","430.60","-0.25","-0.06","430.60","11,087","0.48","62,595.22","446.50","205.12"
"CDSL","1,414.70","1,413.90","-0.80","-0.06","1,413.90","3,189","0.45","25,116.66","1,673.70","1,116.30"
"SBILIFE","1,761.10","1,760.00","-1.10","-0.06","1,760.00","817","0.14","78,873.36","2,132.00","1,700.40"
"TATAPOWER","351.85","351.60","-0.25","-0.07","351.60","20,782","0.73","58,480.35","464.90","342.50"
"TRENT","2,898.00","2,895.90","-2.10","-0.07","2,895.90","858","0.25","96,089.69","3,782.67","2,183.67"
"BOSCHLTD","48,640.00","48,595.00","-45.00","-0.09","48,595.00","41","0.20","42,037.53","50,000.00","28,610.00"
"JUBLFOOD","490.45","490.00","-0.45","-0.09","490.00","3,007","0.15","19,125.82","667.75","408.55"
"PGEL","585.85","585.35","-0.50","-0.09","585.35","1,373","0.08","9,469.43","644.40","436.55"
"RVNL","214.22","214.00","-0.22","-0.10","214.00","16,482","0.35","12,113.91","400.70","209.50"
"ADANIENT","3,168.50","3,165.00","-3.50","-0.11","3,165.00","2,324","0.74","94,753.76","3,245.00","1,753.00"
"BEL","411.90","411.45","-0.45","-0.11","411.45","58,898","2.42","1,46,956.86","473.45","361.20"
"MAXHEALTH","1,014.10","1,013.00","-1.10","-0.11","1,013.00","3,348","0.34","75,182.81","1,221.90","903.00"
