"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"ATHERENERG",1655,1717.7,1626.4,1616.3,1717.7,6.27,19768043,33138751924.34,"-"
"INDHOTEL",702,737.9,701.55,706.4,737.9,4.46,5220998,3771179065.38,"23-Jun-2026"
"AUROPHARMA",1648.6,1717,1635.1,1645.3,1717,4.36,2416718,4075553235.2,"17-Apr-2026"
"NYKAA",334.4,349.55,333.35,335.65,349.55,4.14,7930224,2718560089.44,"10-Nov-2022"
"PAYTM",1622.5,1717.1,1622.5,1650.9,1717.1,4.01,2686950,4480704081,"-"
"POLYCAB",9105,9445,8990,9088,9445,3.93,387155,3549413810.7,"19-Jun-2026"
"COLPAL",1826,1897.6,1803.7,1826.9,1897.6,3.87,1166774,2159243632.14,"01-Jun-2026"
"GAIL",172.2,177.5,170.33,171.1,177.5,3.74,13012294,2272727270.04,"02-Sep-2026"
"FEDERALBNK",342.6,356.7,341.55,344.25,356.7,3.62,6824404,2401644255.68,"14-Aug-2026"
"PIDILITIND",1625.1,1687.7,1612.4,1629.5,1687.7,3.57,1907573,3152607745.64,"23-Jul-2026"
"POLICYBZR",1811,1875,1796.4,1811.5,1875,3.51,1151385,2118525372.3,"-"
"IDFCFIRSTB",83,85.97,82.5,83.12,85.97,3.43,19780056,1664096111.28,"07-Aug-2026"
"VMM",107.18,110.64,105.8,107,110.64,3.4,15208938,1642109035.86,"-"
"SUNPHARMA",1917,1984.8,1905,1920,1984.8,3.38,2413221,4700085748.44,"07-Jul-2026"
"BHARATFORG",2034.9,2104.9,2012,2037.7,2104.9,3.3,779889,1602851269.47,"03-Jul-2026"
"YESBANK",22.07,22.83,21.98,22.1,22.83,3.3,102020136,2270968227.36,"03-Jun-2019"
"MOTHERSON",164.69,170.68,163.74,165.6,170.68,3.07,20098698,3336785841.96,"14-Jul-2026"
"KEI",5540,5740.3,5442,5570,5740.3,3.06,297706,1649871766.7,"28-Jan-2026"
"CGPOWER",884.15,916,875,889,916,3.04,3393030,3029704347.6,"30-Jan-2026"
"PETRONET",292,300.6,289,292,300.6,2.95,2880149,846130173.22,"12-Jun-2026"
