"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"ADANIENSOL",1589,1592.9,1417.4,1581.4,1417.4,-10.37,35589890,51478996390.5,"14-Jun-2024"
"ADANIENT",3165,3165,2859.1,3168.5,2859.1,-9.76,12872435,37561765330,"12-Jun-2026"
"ADANIGREEN",1307.8,1310.9,1214.9,1311,1214.9,-7.33,2461573,3083637112.83,"14-Jun-2024"
"ADANIPOWER",212.37,213.13,198,212.63,198,-6.88,53907969,10944934946.07,"22-Sep-2025"
"ADANIPORTS",1710,1711.4,1593.1,1707.5,1593.1,-6.7,9621819,15593697180.54,"12-Jun-2026"
"KAYNES",3943,3943,3645,3943.1,3685,-6.55,2144603,8044384406.97,"08-Sep-2023"
"LODHA",1260,1260,1198.6,1274,1198.6,-5.92,2185679,2665741535.56,"07-Aug-2026"
"PERSISTENT",5855.5,5855.5,5593,5875,5594.5,-4.77,1111705,6271461416.5,"27-Jul-2026"
"GMRAIRPORT",97.85,98,93.63,98.31,93.63,-4.76,59724643,5653534706.38,"05-Sep-2024"
"PFC",352,352.3,336.3,352,336.3,-4.46,13232527,4577925040.92,"27-Aug-2026"
"HINDZINC",602.9,602.9,592,622,595.45,-4.27,8585078,5120913176.22,"30-Apr-2026"
"KPITTECH",609.4,610,585,609.4,585,-4,2324629,1372623685.63,"12-Aug-2026"
"ITC",266,266.55,255.5,266,255.5,-3.95,24575845,6446244143.5,"27-May-2026"
"BHARTIARTL",1880,1895.5,1811.9,1882.4,1811.9,-3.75,16921326,31264349557.38,"24-Jul-2026"
"MUTHOOTFIN",3048.2,3048.2,2978.1,3091,2978.1,-3.65,894840,2682488713.2,"17-Apr-2026"
"BSE",3405,3408,3216.3,3405,3282,-3.61,6123157,20199682627.3,"10-Jul-2026"
"NATIONALUM",390,392,377.15,394.95,381.5,-3.41,11959002,4550280670.98,"24-Aug-2026"
"VEDL",284,284,276.5,287.95,278.2,-3.39,16664814,4645816846.92,"30-Apr-2026"
"SHREECEM",23950,23990,23200,24000,23200,-3.33,20510,482766225.9,"17-Jul-2026"
"TMPV",318.4,318.9,308.85,319.4,308.85,-3.3,9986158,3127964270.34,"19-Jun-2026"
