"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"HCLTECH",1127.1,1159,1115.1,1078.1,1140,5.74,12768463,14513018099.69,"24-Apr-2026"
"LODHA",1015,1062,1015,1006.2,1061.1,5.46,7862663,8205710986.69,"22-Aug-2025"
"KAYNES",3174.9,3363,3174.9,3158.5,3326,5.3,2592315,8552099031.3,"08-Sep-2023"
"NATIONALUM",340,349.2,338.9,332.25,347.8,4.68,12212575,4230313854.25,"08-May-2026"
"ZYDUSLIFE",1105,1142.9,1104.1,1099.8,1142.9,3.92,1862016,2102420885.76,"24-Jul-2026"
"LTF",318,329,317.75,315.25,327.55,3.9,8797473,2861905941.63,"22-May-2026"
"360ONE",1084,1120.9,1077.5,1070,1110,3.74,1319185,1456828762.9,"27-Apr-2026"
"INDUSINDBK",948,978.4,942.1,943.5,976.85,3.53,3819865,3678759186.9,"25-Jun-2026"
"OBEROIRLTY",1885,1944.3,1864.7,1864.7,1930,3.5,900582,1726064467.02,"14-May-2026"
"AMBUJACEM",431.7,444.2,430,428.95,443.7,3.44,6168156,2703194367,"12-Jun-2026"
"MUTHOOTFIN",3016.6,3103.9,3005,2949.7,3050,3.4,2030980,6242379508.4,"17-Apr-2026"
"AUROPHARMA",1568,1636.8,1567.7,1561,1613.6,3.37,2190579,3543984423.57,"17-Apr-2026"
"LUPIN",2420,2481,2407.6,2399.6,2476.1,3.19,939595,2311638598.75,"25-Jul-2025"
"NUVAMA",1840,1955,1827.9,1819.1,1876,3.13,1946356,3713160659,"15-May-2026"
"UPL",592.95,612.9,592.7,588.75,607.1,3.12,3200516,1939480690.84,"17-Jul-2026"
"DLF",661.2,678,656.6,658.2,677.2,2.89,6688508,4475013162.48,"28-Jul-2025"
"OFSS",11000,11279,10936,10986,11260,2.49,307902,3437695039.8,"07-May-2026"
"TORNTPHARM",4680,4783,4680,4661.4,4770,2.33,345920,1646810966.4,"29-May-2026"
"BIOCON",418.6,428.8,418.6,418.6,427.75,2.31,6403875,2724144386.25,"03-Jul-2026"
"MAXHEALTH",1145,1160,1129.7,1127.4,1150.1,2.19,1456459,1672466434.29,"03-Jul-2026"
