"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"TRENT",3080,3080,2920,3343.8,2921,-12.64,9059505,27043347185.4,"12-Jun-2026"
"KALYANKJIL",360.85,367.05,348.35,381.25,356.5,-6.49,24105506,8583488576.48,"04-Sep-2025"
"COCHINSHIP",1451.2,1467.9,1430.6,1506.4,1430.7,-5.03,6317270,9164274070.9,"03-Feb-2026"
"BIOCON",425,426.6,405.2,424.3,406,-4.31,3261586,1350687994.32,"03-Jul-2026"
"LAURUSLABS",1529,1533.7,1469.4,1529.2,1474,-3.61,2329480,3488396300,"08-May-2026"
"BSE",3820,3820.6,3630.6,3802.7,3678.7,-3.26,5680882,20881217967.4,"10-Jul-2026"
"DLF",673.3,673.3,649.9,673.3,651.75,-3.2,5693740,3735833626.2,"28-Jul-2025"
"KEI",5253.5,5279.5,5073.5,5251,5085,-3.16,330868,1691268177.48,"28-Jan-2026"
"BHEL",389.7,389.7,375,387.5,375.4,-3.12,18569613,7014485614.62,"01-Aug-2025"
"ADANIENT",3209.9,3215.2,3096.5,3206.6,3109.9,-3.02,2093552,6589371177.92,"12-Jun-2026"
"MCX",2730,2734,2577.5,2723.1,2643,-2.94,5896736,15468494777.28,"02-Jan-2026"
"ANGELONE",345.95,347.6,334,345.95,336.55,-2.72,7502930,2527436999.8,"27-Mar-2026"
"VEDL",282,282.35,274.1,282,274.7,-2.59,13028080,3602003558.4,"30-Apr-2026"
"RECLTD",364,365.8,355.1,364.75,355.5,-2.54,4139869,1482321494.14,"20-Mar-2026"
"OBEROIRLTY",1964,1968.4,1902.1,1953.4,1904.4,-2.51,930378,1793498974.38,"14-May-2026"
"NATIONALUM",350,350.4,341.1,351.05,342.4,-2.46,4907893,1686744666.24,"08-May-2026"
"SAIL",168.48,168.49,164.5,169.23,165.15,-2.41,8475984,1406674304.64,"08-Sep-2025"
"GVT&D",4580,4590,4386.1,4554.5,4447,-2.36,896407,3974596925.44,"21-Aug-2026"
"ASTRAL",1388,1388,1354.4,1389,1356.9,-2.31,457636,624357371.16,"11-Nov-2025"
"POLYCAB",9589.5,9595.5,9355,9584,9364,-2.3,178259,1686175054.67,"19-Jun-2026"
