"ï»¿""Symbol""",Open,High,Low,Prev. Close,LTP,%chng,Volume,Value
KPITTECH,547.05,587,546.15,550.9,583.3,5.88,9475364,5454398533
TATAELXSI,3359,3556.6,3353.9,3387.6,3537,4.41,1304975,4562975585
GODFRYPHLP,2038,2140,2027.4,2046.5,2131,4.13,408425,853420374.5
PERSISTENT,4974.1,5217.8,4965.1,5001.9,5195,3.86,732328,3758907805
AUBANK,969,1015.9,967.4,978.7,1013.1,3.51,1826523,1805919821
ASTRAL,1405.1,1476.8,1402.4,1413.4,1460.1,3.3,1157687,1681679290
UNITDSPR,1416,1480,1410.5,1418,1464,3.24,3954221,5796769359
COFORGE,1430,1489,1430,1439.9,1486,3.2,3441351,5050251420
LTM,3945.5,4102.4,3937,3965.3,4081,2.92,367416,1485988293
ICICIGI,1614.3,1666.2,1605,1619,1665,2.84,1693997,2802887436
LAURUSLABS,1560,1610,1554.9,1568.3,1609,2.6,2647403,4200501970
MPHASIS,2247,2340,2192.1,2232.4,2282,2.22,2105429,4777049967
PAYTM,1246,1296.7,1236.5,1256.8,1283,2.08,3609944,4583762493
HCLTECH,1237,1276,1236.6,1244.7,1269,1.95,3674904,4632106245
PETRONET,268.95,275.15,267.9,269.45,274.45,1.86,2466930,673841929.5
BHEL,405,418,402.15,409.6,417,1.81,8874814,3644797362
SRF,2672.9,2698,2635.8,2622.7,2669.5,1.78,1246513,3329585805
360ONE,1068.3,1105,1065,1083.2,1102,1.74,918262,998821125.3
IEX,120.5,125.7,120.49,121.94,124,1.69,10633033,1318921413
HAVELLS,1201.1,1239.5,1195.8,1209.9,1230,1.66,1065814,1306709280
