"ï»¿""Symbol""",Open,High,Low,Prev. Close,LTP,%chng,Volume,Value,CA 
MOTILALOFS,944.5,944.5,839.9,940.25,873,-7.15,14328752,12384770216,30-Jan-2026
SWIGGY,259.27,259.27,242.51,261.55,251.5,-3.84,34389852,8542439237,-
POWERINDIA,32100,32395,30980,32065,31150,-2.85,118166,3728702133,21-Aug-2026
GVT&D,4330,4334,4115.6,4328.5,4211,-2.71,1388191,5815923368,21-Aug-2026
DALBHARAT,1854.9,1872.1,1780.8,1854.7,1805,-2.68,1119018,2039958624,23-Jun-2026
ETERNAL,285,285,276.55,287.1,280,-2.47,37050034,10369563516,-
AMBER,7377,7399,7214.5,7430,7250,-2.42,351056,2555150564,02-Aug-2024
KALYANKJIL,585.55,588,569.5,585.6,572.45,-2.25,11499577,6650550366,04-Sep-2025
OFSS,10688,10930,10549,10843,10610,-2.15,452845,4848688399,07-May-2026
M&M,3215.3,3217,3135.1,3229.7,3165,-2,2135688,6749094433,03-Jul-2026
BAJFINANCE,1027.3,1030.2,1001.3,1039.8,1019,-2,18416962,18641833106,30-Jun-2026
KAYNES,3213,3236.1,3131,3240.3,3177,-1.95,887346,2808609812,08-Sep-2023
SHRIRAMFIN,1018.1,1051,992.9,1025.8,1006,-1.93,11775846,11936586298,03-Jul-2026
ABB,7498,7583,7333,7528,7390,-1.83,258917,1931670992,30-Apr-2026
OIL,460.5,465,448.95,458.8,450.5,-1.81,2893431,1315556273,18-Feb-2026
MANKIND,2548,2554.8,2501.3,2557.4,2512,-1.78,186027,468944302.7,08-Aug-2025
HEROMOTOCO,5101.2,5102,4982,5173.8,5010.8,-1.73,694927,3494697542,24-Jul-2026
TORNTPHARM,5026,5049.9,4951.7,5065.2,4978.9,-1.7,262189,1307151125,29-May-2026
BAJAJ-AUTO,11229,11320,11100,11283.5,11100,-1.63,442440,4959933800,24-Jun-2026
VMM,109.11,109.3,106.8,109.87,108.1,-1.61,11375041,1229869433,-
