"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHNG 
","%CHNG 
","FINAL 
","FINAL QUANTITY 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","NM 52W H 
","NM 52W L 
"
"LODHA","1,198.70","1,233.20","34.50","2.88","1,233.20","23,577","2.91","34,118.03","1,327.60","650.80"
"COFORGE","1,528.40","1,570.00","41.60","2.72","1,570.00","68,422","10.74","54,490.83","1,989.70","1,008.10"
"MPHASIS","2,332.70","2,374.70","42.00","1.80","2,374.70","3,755","0.89","31,346.55","3,037.20","2,013.00"
"INFY","1,079.20","1,097.00","17.80","1.65","1,097.00","60,893","6.68","3,83,727.28","1,728.00","982.40"
"TECHM","1,575.00","1,599.00","24.00","1.52","1,599.00","16,549","2.65","1,01,266.51","1,854.00","1,304.10"
"PERSISTENT","5,268.20","5,335.80","67.60","1.28","5,335.80","2,499","1.33","57,819.77","6,599.00","4,244.50"
"TCS","2,295.60","2,325.00","29.40","1.28","2,325.00","30,234","7.03","2,36,713.50","3,350.00","1,976.80"
"CIPLA","1,409.40","1,426.70","17.30","1.23","1,426.70","11,883","1.70","80,053.56","1,673.00","1,165.70"
"TATAPOWER","377.35","382.00","4.65","1.23","382.00","92,359","3.53","63,536.67","464.90","342.50"
"LTM","4,190.80","4,239.20","48.40","1.15","4,239.20","3,762","1.59","39,260.96","6,429.50","3,528.00"
"BOSCHLTD","41,250.00","41,705.00","455.00","1.10","41,705.00","166","0.69","36,077.27","42,985.00","28,610.00"
"SRF","2,636.50","2,656.60","25.10","0.95","2,656.60","605","0.16","38,474.80","3,210.00","2,355.00"
"PIDILITIND","1,611.30","1,625.00","13.70","0.85","1,625.00","4,485","0.73","50,213.68","1,626.70","1,259.00"
"OFSS","11,089.00","11,181.00","92.00","0.83","11,181.00","622","0.70","26,590.86","11,979.00","6,234.50"
"CONCOR","510.50","514.50","4.00","0.78","514.50","26,290","1.35","17,711.81","601.80","421.45"
"PRESTIGE","1,644.60","1,656.80","12.20","0.74","1,656.80","379","0.06","27,869.33","1,805.20","1,090.00"
"SHRIRAMFIN","1,038.20","1,045.00","6.80","0.65","1,045.00","11,856","1.24","1,45,948.35","1,108.00","566.50"
"HINDPETRO","393.95","396.40","2.45","0.62","396.40","6,863","0.27","37,959.81","508.45","316.20"
"360ONE","1,132.70","1,139.50","6.80","0.60","1,139.50","528","0.06","29,473.59","1,236.20","906.05"
"JUBLFOOD","427.45","430.00","2.55","0.60","430.00","3,640","0.16","16,783.88","670.45","408.55"
"JINDALSTEL","1,065.70","1,072.00","6.30","0.59","1,072.00","1,818","0.19","39,599.07","1,306.20","941.55"
"NESTLEIND","1,446.10","1,454.60","8.50","0.59","1,454.60","10,192","1.48","1,04,004.69","1,510.00","1,084.70"
"EXIDEIND","427.00","429.45","2.45","0.57","429.45","7,338","0.32","19,483.54","452.80","287.00"
"POLYCAB","9,010.00","9,061.00","51.00","0.57","9,061.00","1,572","1.42","48,320.15","10,126.00","6,620.00"
"RADICO","4,149.50","4,171.00","21.50","0.52","4,171.00","1,164","0.49","32,595.49","4,201.00","2,500.00"
"CAMS","785.05","789.00","3.95","0.50","789.00","2,024","0.16","18,923.22","844.90","611.40"
"INDIGO","5,230.00","5,255.00","25.00","0.48","5,255.00","2,891","1.52","1,18,619.57","6,232.50","3,895.20"
"IREDA","120.29","120.87","0.58","0.48","120.87","9,843","0.12","9,589.45","163.35","108.65"
"NAUKRI","1,194.30","1,200.00","5.70","0.48","1,200.00","2,792","0.34","45,818.00","1,437.80","908.30"
"DIVISLAB","7,414.00","7,448.00","34.00","0.46","7,448.00","579","0.43","94,390.82","7,459.00","5,636.50"
