"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"NATIONALUM",434,436.85,412.55,436.9,413.75,-5.3,13706598,5760197809.5,"08-May-2026"
"BHEL",410.4,411,384.5,406.3,387.4,-4.65,22452304,8929954869.92,"01-Aug-2025"
"PATANJALI",444,445.05,423.2,441.65,423.9,-4.02,5421306,2363906268.24,"24-Apr-2026"
"SAIL",203.4,205.5,195.77,203.87,196.45,-3.64,38406537,7659799739.28,"08-Sep-2025"
"POLICYBZR",1578.5,1591.5,1526.5,1578.5,1532.8,-2.9,1465703,2278801739.25,"-"
"BOSCHLTD",37755,38100,36875,37760,36955,-2.13,30639,1144963804.11,"29-Jul-2025"
"VMM",119.02,120.08,116.82,120.29,118.41,-1.56,12214531,1443146837.65,"-"
"SOLARINDS",18560,18770,18251,18577,18300,-1.49,161517,2987756002.53,"08-Jul-2025"
"INFY",1208,1215.2,1196.2,1222.6,1204.4,-1.49,12755957,15351284011.22,"10-Jun-2026"
"HAL",4260,4297,4176.1,4264.1,4201.9,-1.46,718095,3040170077.7,"18-Feb-2026"
"NMDC",95.81,97.35,94.34,96.04,94.65,-1.45,30790125,2943535950,"13-Feb-2026"
"JINDALSTEL",1210.8,1213.6,1195,1211.3,1195,-1.35,611274,735784401.06,"22-Aug-2025"
"INDIANB",847.9,849.9,832.7,847.9,837.2,-1.26,1830531,1538176893.99,"10-Jun-2026"
"MUTHOOTFIN",3224,3224,3157,3218.3,3178,-1.25,439987,1401604987.72,"17-Apr-2026"
"HINDALCO",1134,1137.1,1121.4,1138.9,1125.1,-1.21,3868557,4365008919.81,"08-Aug-2025"
"SBICARD",589.6,593.8,587.2,596.55,589.4,-1.2,1351141,796889450.39,"11-Mar-2026"
"SBILIFE",1781.6,1784.1,1760.5,1784.2,1763,-1.19,727483,1287433939.93,"06-Mar-2026"
"MOTHERSON",144.88,147.4,143.64,145.61,143.92,-1.16,17953489,2611514509.94,"14-Jul-2026"
"UNITDSPR",1262.9,1268.2,1248,1262.9,1248.6,-1.13,611875,769010618.75,"27-Jan-2026"
"BAJAJFINSV",1733,1734.2,1705.5,1734.4,1714.9,-1.12,767631,1318007074.38,"30-Jun-2026"
