"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"BDL",1309.3,1378.8,1304.9,1311.8,1372,4.59,3488237,4735246845.13,"09-Feb-2026"
"GVT&D",5229.5,5632,5229.5,5250,5485,4.48,1247092,6803298400.36,"21-Aug-2026"
"AUROPHARMA",1454,1503.1,1446.4,1443.7,1499.5,3.87,2506592,3705144030.72,"17-Apr-2026"
"LAURUSLABS",1368,1424.6,1363.8,1368.8,1411.2,3.1,2349174,3287903930.4,"08-May-2026"
"OFSS",9200,9695,9127.5,9399.5,9669,2.87,254329,2412666625.6,"07-May-2026"
"RBLBANK",370.2,379.9,367.5,369.25,379.85,2.87,9737378,3652782609.14,"08-Sep-2025"
"BHEL",405.9,423.7,403.85,405.9,417,2.73,22020572,9137216145.68,"01-Aug-2025"
"LICI",430.8,450.2,430.05,430,441.5,2.67,12106383,5343999583.86,"25-Jun-2026"
"KPITTECH",729.9,769.85,711.1,745.95,765,2.55,2632393,1941626752.87,"04-Feb-2026"
"GLENMARK",2154,2221.6,2145.1,2154,2204.9,2.36,954063,2097173583.45,"03-Oct-2025"
"NATIONALUM",365.9,376.75,362.4,367.75,376,2.24,8824485,3290650456.5,"08-May-2026"
"INOXWIND",89.01,92.25,88.2,89.33,91.25,2.15,18771345,1696366447.65,"29-Jul-2025"
"ICICIGI",1844.9,1884.1,1818.7,1839,1877,2.07,1503031,2795607599.38,"29-May-2026"
"ETERNAL",257,264.9,254.55,258.55,263.85,2.05,29061365,7601290629.4,"-"
"RADICO",3699,3778,3686,3690,3765,2.03,746962,2792569724.34,"24-Jul-2026"
"POLYCAB",9900,10120,9831,9952.5,10105,2.01,470348,4711546468.2,"19-Jun-2026"
"PREMIERENE",1055.3,1087.5,1050,1057.7,1078.6,1.98,1350684,1445934235.68,"08-May-2026"
"WAAREEENER",3066.3,3147.5,3052.6,3065.9,3126.1,1.96,1902606,5932268429.82,"24-Oct-2025"
"BHARTIARTL",1874.3,1917.5,1867.2,1874.8,1906.9,1.71,15918432,30336233415.36,"18-Jul-2025"
"NAM-INDIA",1175,1191.3,1157.8,1167.4,1187,1.68,1616527,1901359057.4,"25-Jun-2026"
