"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"ANGELONE",303.95,330,303.9,303.95,329.8,8.5,20805019,6707330075.41,"27-Mar-2026"
"KPITTECH",712,750.9,710,707.75,745.55,5.34,3215754,2373001349.22,"04-Feb-2026"
"COFORGE",1365,1447,1360.3,1348.1,1411.9,4.73,8133656,11554021021.12,"30-Jan-2026"
"IDEA",12.98,13.68,12.86,12.86,13.45,4.59,1543430179,20589358587.86,"20-Aug-2024"
"INFY",1162,1198.4,1162,1142.5,1194,4.51,32175705,38306785587.75,"10-Jun-2026"
"LTM",4107,4284,4107,4074.6,4255,4.43,471956,2004769977.24,"25-May-2026"
"LODHA",845.7,904,845.7,857.75,895,4.34,3657358,3250732937.56,"22-Aug-2025"
"JUBLFOOD",454.55,478,454.5,456.95,475.35,4.03,1908777,902412502.29,"18-Jul-2025"
"VOLTAS",1252.8,1310,1251,1252.8,1301,3.85,1272392,1645826328.08,"20-Jun-2025"
"HINDPETRO",363.15,372.4,362.55,358.9,371.25,3.44,5849675,2163209815,"06-Nov-2025"
"PAGEIND",37580,38850,37390,37505,38750,3.32,47817,1842488947.53,"11-Feb-2026"
"VEDL",325.4,339,325.4,327,337.7,3.27,35074019,11673335003.58,"30-Apr-2026"
"MPHASIS",2167.3,2271.1,2160.1,2148.5,2218.2,3.24,1176450,2632200994.5,"09-Jul-2025"
"MANAPPURAM",302,316,302,306.1,316,3.23,3193575,997257665.25,"11-May-2026"
"GLENMARK",2351.5,2413.5,2335,2339.9,2409,2.95,855987,2043369367.05,"03-Oct-2025"
"HCLTECH",1156,1198.3,1152.3,1146.6,1180,2.91,5756760,6798445722,"24-Apr-2026"
"SWIGGY",255.1,262.95,253.65,254.1,261.5,2.91,10197754,2643461791.88,"-"
"PATANJALI",456.95,477.65,456.75,456.75,469.9,2.88,6838707,3222467125.47,"24-Apr-2026"
"OFSS",9465,9999,9465,9408.5,9675,2.83,446973,4367350834.35,"07-May-2026"
"BLUESTARCO",1633.8,1694.5,1633.7,1633.8,1680,2.83,409067,684909059.44,"18-Jul-2025"
