"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"AMBER",8118,8148.5,6980,8476.5,7172,-15.39,2162867,15829028654.18,"02-Aug-2024"
"PGEL",482.25,483.2,452.45,487.1,459.5,-5.67,4147429,1910471694.56,"19-Sep-2025"
"KAYNES",3259.7,3270,3100,3271.9,3102,-5.19,2543325,8037746297.25,"08-Sep-2023"
"UNOMINDA",1122.6,1161.5,1060.1,1121.8,1063.9,-5.16,2592716,2884163205.56,"29-May-2026"
"TVSMOTOR",3430,3435.9,3275,3466.8,3291,-5.07,2579482,8575668472.74,"30-Mar-2026"
"COCHINSHIP",1549,1549,1475,1594.5,1516,-4.92,3618669,5438750946.93,"03-Feb-2026"
"GODFRYPHLP",2439,2491.7,2275.6,2424.9,2314,-4.57,4036701,9524394174.45,"10-Nov-2025"
"DELHIVERY",472.95,472.95,446.1,475.75,457,-3.94,7347316,3331640440.2,"20-Sep-2023"
"RBLBANK",337.55,337.55,323.75,338.1,325.2,-3.82,4664716,1526574958.16,"08-Sep-2025"
"ICICIPRULI",507.95,520.8,488.6,535.6,515.2,-3.81,6777357,3418160002.95,"12-Jun-2025"
"FORCEMOT",20099,20099,19344,20356,19613,-3.65,91219,1787319544.68,"10-Sep-2025"
"PFC",443.8,443.8,427.4,445.75,429.7,-3.6,4593536,1981329882.88,"23-Mar-2026"
"RECLTD",345,345,331.65,345.85,333.6,-3.54,6159707,2059621229.59,"20-Mar-2026"
"CGPOWER",825.95,830,804.6,838.2,808.65,-3.53,4002836,3247140591.56,"30-Jan-2026"
"CONCOR",513,513.35,499.3,518.8,502,-3.24,1078736,542981765.6,"09-Feb-2026"
"TATASTEEL",211,211.82,205.05,216.84,210.01,-3.15,73796001,15417460528.92,"06-Jun-2025"
"HDFCAMC",2663,2680.5,2600.1,2703.5,2623.1,-2.97,990806,2599666874.74,"26-Nov-2025"
"POWERGRID",296.3,298.45,290.2,305.85,296.9,-2.93,16036198,4717047641.7,"09-Feb-2026"
"BANKINDIA",141,141,137.49,142.26,138.45,-2.68,12262451,1696264846.83,"29-May-2026"
"NTPC",393,393.85,384.9,395.25,384.9,-2.62,7632596,2969843103.6,"06-Feb-2026"
