"Symbol","Open","High","Low","Prev. Close","LTP","%chng","Volume","Value","CA "
"SAMMAANCAP",148.19,158.6,148,141.8,154.75,9.13,120079677,18492270258,"20-Sep-2024"
"GRASIM",3060.7,3180,3021,2971.1,3162,6.43,4417489,13794581250.08,"12-Aug-2025"
"AMBER",7150,7634.5,7120,7049.5,7500,6.39,1293057,9635705597.16,"02-Aug-2024"
"KAYNES",3048,3190,3030.4,3001,3190,6.3,2230040,6949808158,"08-Sep-2023"
"ANGELONE",327.8,343.3,327,325,339.8,4.55,25211127,8545059385.38,"27-Mar-2026"
"MOTHERSON",136.02,138.4,133.36,132.17,136.89,3.57,65674007,8956621074.66,"27-Mar-2026"
"HYUNDAI",1797.9,1854.3,1792.1,1787.4,1850,3.5,1864385,3422041379.8,"05-Aug-2025"
"INDIGO",4305,4452.2,4305,4264.6,4400,3.17,1656192,7301852413.44,"13-Aug-2025"
"APOLLOHOSP",8198.5,8388,8051.5,8078.5,8330,3.11,1425124,11762759727.4,"16-Feb-2026"
"PHOENIXLTD",1749,1805,1746.3,1745.3,1794.7,2.83,497062,888453589.42,"15-Sep-2025"
"KALYANKJIL",347,353.85,343.15,343.55,353.1,2.78,5540790,1933569486.3,"04-Sep-2025"
"POWERINDIA",35980,36750,35850,35525,36500,2.74,164536,5985115465.92,"13-Aug-2025"
"ASTRAL",1468,1488.9,1459,1443.7,1481.8,2.64,862861,1272832146.93,"11-Nov-2025"
"GMRAIRPORT",95,97.11,94.81,94.5,96.91,2.55,13703695,1314321387.45,"05-Sep-2024"
"UNOMINDA",1066,1084.4,1057.1,1056.4,1081,2.33,1269664,1363657225.92,"29-May-2026"
"DALBHARAT",1725,1754.1,1708.6,1706.8,1745,2.24,293692,509479260.08,"24-Oct-2025"
"DIXON",11010,11325,10911,10997,11230,2.12,705488,7874261982.72,"16-Sep-2025"
"AUROPHARMA",1523,1550,1515.5,1517.5,1549.5,2.11,1013775,1561385841.75,"17-Apr-2026"
"KEI",5146.2,5295,5146.2,5119.8,5220,1.96,550071,2877586422.3,"28-Jan-2026"
"JSWENERGY",545,553.3,543.05,537.1,547.05,1.85,3079588,1687521836.36,"05-Jun-2026"
