"SYMBOL 
","PREV. CLOSE 
","IEP 
","CHANGE 
","%CHANGE 
","FINAL PRICE 
","FINAL VOLUME 
","VALUE 
 (₹ Crores)","FFM CAP 
 (₹ Crores)","52 WEEK HIGH 
","52 WEEK LOW 
"
"RBLBANK","389.40","397.05","7.65","1.96","397.05","1,42,980","5.68","24,508.18","394.50","261.60"
"INOXWIND","70.59","71.90","1.31","1.86","71.90","1,57,454","1.13","6,913.56","159.30","68.00"
"ADANIPORTS","1,672.70","1,694.90","22.20","1.33","1,694.90","31,360","5.32","1,24,689.53","1,891.10","1,292.00"
"MUTHOOTFIN","2,937.70","2,975.00","37.30","1.27","2,975.00","6,034","1.80","31,815.00","4,149.50","2,671.00"
"BANDHANBNK","161.52","163.49","1.97","1.22","163.49","18,381","0.30","14,874.58","220.76","134.25"
"GODFRYPHLP","2,025.40","2,050.00","24.60","1.21","2,050.00","1,220","0.25","8,348.81","3,947.00","1,832.10"
"POWERGRID","266.80","269.90","3.10","1.16","269.90","1,05,437","2.85","1,21,883.86","324.95","250.00"
"NATIONALUM","370.00","374.00","4.00","1.08","374.00","10,169","0.38","33,444.56","445.15","190.87"
"GMRAIRPORT","93.99","95.00","1.01","1.07","95.00","26,973","0.26","33,717.89","115.64","84.11"
"BSE","3,168.00","3,199.90","31.90","1.01","3,199.90","15,805","5.06","1,30,394.57","4,446.80","2,021.50"
"HCLTECH","1,331.50","1,345.00","13.50","1.01","1,345.00","5,971","0.80","1,41,404.73","1,780.10","1,030.00"
"ICICIPRULI","499.50","504.50","5.00","1.00","504.50","10,728","0.54","19,906.14","706.80","459.50"
"COALINDIA","417.85","422.00","4.15","0.99","422.00","1,13,483","4.79","1,00,799.16","491.25","369.60"
"MCX","3,286.00","3,317.00","31.00","0.94","3,317.00","6,241","2.07","84,382.45","3,480.00","1,496.00"
"BLUESTARCO","1,445.30","1,458.80","13.50","0.93","1,458.80","412","0.06","18,874.65","2,040.00","1,432.50"
"SBICARD","635.15","641.00","5.85","0.92","641.00","986","0.06","18,956.09","965.00","565.45"
"MAHABANK","82.40","83.15","0.75","0.91","83.15","27,889","0.23","16,883.49","94.50","51.84"
"APLAPOLLO","2,210.00","2,230.00","20.00","0.90","2,230.00","385","0.09","40,480.14","2,301.40","1,629.70"
"AXISBANK","1,253.90","1,265.00","11.10","0.89","1,265.00","10,088","1.28","3,62,593.18","1,418.30","1,045.00"
"FEDERALBNK","353.35","356.50","3.15","0.89","356.50","36,411","1.30","87,788.39","371.70","188.40"
"LICI","408.25","411.80","3.55","0.87","411.80","22,676","0.93","52,095.81","468.48","360.75"
"POLYCAB","8,804.00","8,879.50","75.50","0.86","8,879.50","362","0.32","47,361.49","10,126.00","6,663.00"
"SHRIRAMFIN","1,047.00","1,056.00","9.00","0.86","1,056.00","11,581","1.22","1,47,486.85","1,153.70","580.00"
"GVT&D","4,240.00","4,276.00","36.00","0.85","4,276.00","2,984","1.28","52,837.48","5,650.00","2,523.20"
"ICICIBANK","1,426.50","1,438.30","11.80","0.83","1,438.30","1,26,551","18.20","10,28,003.74","1,480.00","1,187.60"
"HYUNDAI","2,154.40","2,172.00","17.60","0.82","2,172.00","6,118","1.33","30,883.28","2,890.00","1,658.00"
"PNB","117.00","117.95","0.95","0.81","117.95","54,410","0.64","40,508.77","135.15","98.50"
"HINDZINC","588.40","593.00","4.60","0.78","593.00","21,605","1.28","28,437.97","733.00","430.75"
"PFC","346.50","349.20","2.70","0.78","349.20","8,641","0.30","50,704.83","486.50","329.90"
"SBIN","1,020.90","1,028.90","8.00","0.78","1,028.90","26,462","2.72","4,24,100.86","1,234.70","802.65"
"KEI","5,170.00","5,209.00","39.00","0.75","5,209.00","716","0.37","32,059.03","5,899.00","3,728.70"
"TATAPOWER","364.00","366.55","2.55","0.70","366.55","36,684","1.34","60,966.93","464.90","342.50"
"IDEA","14.53","14.63","0.10","0.69","14.63","16,29,742","2.38","40,165.07","15.37","6.46"
"JSWSTEEL","1,306.00","1,315.00","9.00","0.69","1,315.00","1,098","0.14","1,22,994.60","1,351.00","1,031.20"
"IREDA","112.55","113.30","0.75","0.67","113.30","17,905","0.20","8,988.87","163.35","108.65"
"UNOMINDA","1,236.00","1,244.00","8.00","0.65","1,244.00","1,518","0.19","22,563.97","1,382.00","994.00"
"ADANIPOWER","207.70","209.00","1.30","0.63","209.00","1,36,672","2.86","86,479.64","254.20","120.00"
"MANAPPURAM","340.90","343.05","2.15","0.63","343.05","7,527","0.26","18,775.79","381.55","245.15"
"NHPC","75.65","76.11","0.46","0.61","76.11","33,340","0.25","28,606.48","89.22","71.62"
"HDFCBANK","700.80","705.00","4.20","0.60","705.00","2,96,153","20.88","10,77,497.45","1,020.50","698.50"
"HAVELLS","1,193.00","1,200.00","7.00","0.59","1,200.00","420","0.05","30,157.68","1,621.10","1,123.60"
"HDFCLIFE","533.00","536.15","3.15","0.59","536.15","2,419","0.13","57,902.24","803.00","530.50"
"POWERINDIA","32,200.00","32,390.00","190.00","0.59","32,390.00","245","0.79","41,086.37","38,785.00","16,111.00"
"PATANJALI","345.00","347.00","2.00","0.58","347.00","10,869","0.38","11,987.17","615.00","328.20"
"RVNL","206.00","207.20","1.20","0.58","207.20","20,018","0.41","11,728.98","400.70","203.83"
"TATAELXSI","3,609.00","3,630.00","21.00","0.58","3,630.00","149","0.05","12,462.89","5,950.00","3,353.90"
"BANKINDIA","143.10","143.90","0.80","0.56","143.90","25,617","0.37","17,437.76","178.36","111.33"
"KFINTECH","929.00","934.05","5.05","0.54","934.05","854","0.08","12,456.29","1,215.00","784.95"
"SAGILITY","46.70","46.95","0.25","0.54","46.95","40,792","0.19","10,780.66","57.89","35.83"
"SUZLON","45.46","45.70","0.24","0.53","45.70","1,80,246","0.82","55,440.82","61.50","38.19"
"KPITTECH","588.00","591.05","3.05","0.52","591.05","2,094","0.12","9,666.38","1,328.00","543.00"
"VOLTAS","1,152.10","1,158.00","5.90","0.51","1,158.00","1,490","0.17","26,329.23","1,582.50","1,151.00"
"BAJAJ-AUTO","12,130.00","12,191.00","61.00","0.50","12,191.00","706","0.86","1,32,380.19","12,470.00","8,491.50"
"KALYANKJIL","590.00","592.95","2.95","0.50","592.95","16,698","0.99","22,720.63","648.95","327.05"
"ULTRACEMCO","11,393.00","11,450.00","57.00","0.50","11,450.00","241","0.28","1,35,116.58","13,110.00","10,325.00"
"RECLTD","316.45","318.00","1.55","0.49","318.00","4,071","0.13","39,609.22","390.50","304.05"
"VMM","108.57","109.10","0.53","0.49","109.10","20,327","0.22","30,378.44","155.32","98.77"
"AUROPHARMA","1,648.20","1,656.10","7.90","0.48","1,656.10","2,469","0.41","45,712.29","1,717.00","1,016.20"
"DRREDDY","1,156.50","1,162.00","5.50","0.48","1,162.00","1,440","0.17","70,635.78","1,414.90","1,101.00"
"HINDALCO","1,009.70","1,014.50","4.80","0.48","1,014.50","4,709","0.48","1,46,478.56","1,176.00","714.20"
"JINDALSTEL","1,159.40","1,165.00","5.60","0.48","1,165.00","2,028","0.24","43,034.44","1,306.20","956.10"
"PREMIERENE","1,000.00","1,004.80","4.80","0.48","1,004.80","913","0.09","11,903.73","1,134.00","660.00"
"VEDL","270.70","272.00","1.30","0.48","272.00","43,132","1.17","45,996.06","795.00","249.70"
"COFORGE","1,965.70","1,975.00","9.30","0.47","1,975.00","1,981","0.39","68,585.66","2,021.20","1,008.10"
"LT","3,981.00","3,999.80","18.80","0.47","3,999.80","1,338","0.54","4,66,888.92","4,440.00","3,288.10"
"ADANIENT","2,891.80","2,905.00","13.20","0.46","2,905.00","1,516","0.44","86,969.88","3,245.00","1,753.00"
"IRFC","82.48","82.84","0.36","0.44","82.84","35,171","0.29","16,616.53","137.17","81.30"
"PNBHOUSING","1,141.00","1,146.00","5.00","0.44","1,146.00","173","0.02","21,499.79","1,211.50","729.60"
"PRESTIGE","1,582.00","1,589.00","7.00","0.44","1,589.00","1,740","0.28","26,728.85","1,805.20","1,090.00"
"MOTHERSON","163.30","164.00","0.70","0.43","164.00","14,304","0.23","72,250.00","173.27","93.49"
"CAMS","741.85","745.00","3.15","0.42","745.00","2,282","0.17","17,874.61","844.90","611.40"
"INDIANB","878.80","882.50","3.70","0.42","882.50","1,287","0.11","31,099.73","1,000.90","660.10"
"JSWENERGY","539.80","542.05","2.25","0.42","542.05","8,033","0.44","33,131.82","617.35","427.75"
"AMBER","7,415.00","7,445.50","30.50","0.41","7,445.50","163","0.12","16,225.01","8,974.00","5,400.50"
"GLENMARK","2,460.00","2,470.00","10.00","0.41","2,470.00","240","0.06","37,089.56","2,537.60","1,792.60"
"ASTRAL","1,487.00","1,493.00","6.00","0.40","1,493.00","1,172","0.17","18,209.18","1,768.70","1,311.60"
"BAJAJFINSV","1,990.00","1,998.00","8.00","0.40","1,998.00","1,624","0.32","1,15,453.93","2,195.00","1,597.00"
"INDUSTOWER","379.00","380.50","1.50","0.40","380.50","2,142","0.08","48,889.19","481.50","312.55"
"TMPV","312.75","314.00","1.25","0.40","314.00","13,009","0.41","65,445.85","739.70","294.30"
"ANGELONE","279.25","280.35","1.10","0.39","280.35","6,844","0.19","18,169.29","360.45","208.63"
"AUBANK","1,077.90","1,082.00","4.10","0.38","1,082.00","657","0.07","61,240.92","1,144.10","682.15"
"CANBK","126.30","126.78","0.48","0.38","126.78","63,040","0.80","42,490.62","162.89","104.75"
"BIOCON","401.00","402.50","1.50","0.37","402.50","1,394","0.06","28,791.37","447.15","337.05"
"IEX","118.86","119.30","0.44","0.37","119.30","6,926","0.08","9,455.10","160.27","114.60"
"ASHOKLEY","167.90","168.50","0.60","0.36","168.50","29,519","0.50","48,079.12","215.42","126.54"
"DIVISLAB","9,220.00","9,253.00","33.00","0.36","9,253.00","625","0.58","1,17,266.14","9,467.00","5,636.50"
"SONACOMS","782.65","785.50","2.85","0.36","785.50","1,644","0.13","35,224.48","844.00","402.30"
"CDSL","1,365.20","1,370.00","4.80","0.35","1,370.00","2,666","0.37","24,336.82","1,673.70","1,116.30"
"INFY","1,140.00","1,144.00","4.00","0.35","1,144.00","48,886","5.59","4,00,232.20","1,728.00","982.40"
"KOTAKBANK","423.50","425.00","1.50","0.35","425.00","10,153","0.43","3,12,067.84","453.20","345.50"
"UNIONBANK","186.86","187.50","0.64","0.34","187.50","52,667","0.99","36,129.19","205.49","125.45"
"MFSL","1,505.00","1,510.00","5.00","0.33","1,510.00","549","0.08","39,938.53","1,892.50","1,433.60"
"AMBUJACEM","402.70","404.00","1.30","0.32","404.00","2,412","0.10","25,117.33","600.80","394.00"
"LTF","312.80","313.80","1.00","0.32","313.80","5,761","0.18","26,705.94","338.60","220.45"
"UNITDSPR","1,469.50","1,474.20","4.70","0.32","1,474.20","789","0.12","43,426.34","1,563.40","1,210.80"
"ADANIGREEN","1,296.00","1,300.00","4.00","0.31","1,300.00","6,027","0.78","43,461.91","1,631.50","765.00"
"M&M","3,190.00","3,200.00","10.00","0.31","3,200.00","6,312","2.02","2,84,890.27","3,839.90","2,896.00"
"INDIGO","5,020.00","5,035.00","15.00","0.30","5,035.00","825","0.42","1,13,653.58","5,970.00","3,895.20"
"MAXHEALTH","994.00","997.00","3.00","0.30","997.00","941","0.09","73,995.32","1,221.90","903.00"
"ICICIGI","1,537.00","1,541.40","4.40","0.29","1,541.40","1,095","0.17","37,387.44","2,064.90","1,521.10"
"RADICO","4,476.20","4,489.00","12.80","0.29","4,489.00","334","0.15","35,080.60","4,747.00","2,500.00"
"SBILIFE","1,719.90","1,724.90","5.00","0.29","1,724.90","574","0.10","77,300.37","2,132.00","1,700.40"
"DMART","3,813.40","3,824.10","10.70","0.28","3,824.10","360","0.14","61,452.43","4,949.50","3,529.00"
