"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"MCX",3317,3333,3170.2,3286,3170.2,-3.52,2412959,7742413284.12,"28-Aug-2026"
"ATHERENERG",1673.4,1675,1629.9,1686.1,1638.9,-2.8,4163125,6844135868.75,"-"
"GODREJCP",893,893,859.55,905,880,-2.76,7283971,6358105446.19,"13-Aug-2026"
"KAYNES",3591,3623.9,3469.5,3583,3485,-2.74,1053968,3712591740.32,"08-Sep-2023"
"BHARATFORG",2025,2033,1978.3,2031.8,1981,-2.5,1921003,3834168307.76,"03-Jul-2026"
"FEDERALBNK",356.5,356.95,343.1,353.35,344.6,-2.48,6683672,2318833163.68,"14-Aug-2026"
"APLAPOLLO",2230,2232,2136.5,2210,2159.4,-2.29,1385174,2993721159.24,"08-Sep-2026"
"360ONE",1168.6,1171.5,1149.9,1181.3,1155,-2.23,483291,560559565.08,"27-Apr-2026"
"PGEL",567,572.15,551.85,566,553.9,-2.14,1028501,574890918.96,"19-Sep-2025"
"TORNTPHARM",5025,5025,4886.5,5012,4905.5,-2.12,328567,1618645897.46,"29-May-2026"
"VBL",414,415.45,407.15,415,407.15,-1.89,4325249,1774779422.17,"31-Jul-2026"
"NMDC",85.76,86.87,84.19,85.75,84.19,-1.82,13174732,1121037945.88,"13-Feb-2026"
"BAJAJ-AUTO",12191,12191,11920,12130,11920,-1.73,304296,3673080942,"24-Jun-2026"
"OIL",498.15,499.65,487.35,498.15,490,-1.64,1471365,724102857.45,"04-Sep-2026"
"TECHM",1623,1625.6,1592,1623,1598,-1.54,1647483,2636302296.6,"03-Jul-2026"
"DMART",3824.1,3824.1,3752,3813.4,3763,-1.32,186192,703265803.2,"09-Aug-2021"
"TRENT",2860,2879.8,2815.6,2852.3,2815.6,-1.29,520969,1482026562.75,"12-Jun-2026"
"CIPLA",1414,1415.4,1389.4,1412.8,1394.7,-1.28,549749,768895443.87,"05-Jun-2026"
"M&M",3200,3210,3150,3190,3150,-1.25,1826312,5794887976,"03-Jul-2026"
"ITC",266.5,267.6,262.35,266.3,263,-1.24,17813663,4711535726.87,"27-May-2026"
