SYMBOL,PREV. CLOSE,BEST BID QTY,BEST BID PRICE,BEST ASK PRICE,BEST ASK QTY,INDICATIVE EQUILIBRIUM QUANTITY,INDICATIVE EQUILIBRIUM PRICE,CHANGE,%CHANGE,FINAL PRICE,FINAL VOLUME,VALUE (₹ Crores),FFM CAP (₹ Crores),INDICATIVE IMBALANCE QUANTITY AT EQUILIBRIUM PRICE,INDICATIVE IMBALANCE QUANTITY AT MARKET ORDER,52 WEEK HIGH,52 WEEK LOW
BHARTIARTL,"1,835.00","11","1,840.00","1,841.80","1,150","-","-","6.80","0.37","1,841.80","88,938","16.38","5,71,993.61","-","-","2,174.50","1,740.50"
RELIANCE,"1,240.00","500","1,244.50","1,244.80","13,760","-","-","4.80","0.39","1,244.80","86,739","10.80","8,38,589.56","-","-","1,611.80","1,235.30"
SBIN,"991.40","169","991.10","991.20","3,272","-","-","-0.20","-0.02","991.20","44,651","4.43","4,08,567.96","-","-","1,234.70","821.65"
ICICIBANK,"1,358.80","5","1,351.80","1,351.90","7,628","-","-","-6.80","-0.50","1,352.00","27,280","3.69","9,66,431.47","-","-","1,480.00","1,187.60"
PAYTM,"1,790.00","4,439","1,795.00","1,795.20","29","-","-","5.00","0.28","1,795.00","16,937","3.04","75,510.87","-","-","1,855.50","930.60"
M&M,"3,070.00","578","3,047.00","3,050.00","21","-","-","-23.00","-0.75","3,047.00","8,772","2.67","2,71,268.95","-","-","3,839.90","2,896.00"
TCS,"2,188.80","1","2,170.80","2,171.00","288","-","-","-17.80","-0.81","2,171.00","12,223","2.65","2,21,034.41","-","-","3,350.00","1,976.80"
POWERINDIA,"30,200.00","5","30,440.00","30,450.00","50","-","-","235.00","0.78","30,435.00","816","2.48","38,606.47","-","-","38,785.00","16,111.00"
INFY,"1,060.00","100","1,054.80","1,054.90","1,525","-","-","-5.10","-0.48","1,054.90","22,259","2.35","3,69,060.27","-","-","1,728.00","982.40"
BSE,"3,240.00","10","3,251.00","3,255.00","21","-","-","15.00","0.46","3,255.00","7,004","2.28","1,32,639.87","-","-","4,446.80","2,021.50"
SHRIRAMFIN,"979.00","1,439","979.00","980.00","5","-","-","-","-","979.00","22,247","2.18","1,36,732.60","-","-","1,153.70","603.15"
POLICYBZR,"1,827.10","106","1,838.00","1,839.00","706","-","-","11.90","0.65","1,839.00","9,031","1.66","63,458.96","-","-","1,964.20","1,364.00"
AUROPHARMA,"1,643.00","194","1,634.00","1,640.00","13","-","-","-9.00","-0.55","1,634.00","8,798","1.44","45,102.28","-","-","1,717.00","1,066.80"
LT,"3,807.70","286","3,811.00","3,815.00","2","-","-","3.30","0.09","3,811.00","3,697","1.41","4,44,850.66","-","-","4,440.00","3,288.10"
MAZDOCK,"2,231.90","105","2,249.10","2,250.00","112","-","-","17.20","0.77","2,249.10","6,109","1.37","17,038.82","-","-","3,061.40","2,057.40"
ITC,"264.15","39","264.75","264.80","15,625","-","-","0.65","0.25","264.80","51,559","1.37","2,54,550.89","-","-","426.40","255.50"
ETERNAL,"317.00","50","318.05","318.30","295","-","-","1.30","0.41","318.30","40,567","1.29","2,29,472.15","-","-","368.45","212.60"
PREMIERENE,"899.00","173","885.90","890.00","591","-","-","-13.10","-1.46","885.90","13,911","1.23","10,495.14","-","-","1,134.00","660.00"
PATANJALI,"365.00","983","362.55","362.90","110","-","-","-2.45","-0.67","362.55","33,928","1.23","12,524.35","-","-","614.90","328.20"
KALYANKJIL,"580.90","147","580.00","580.55","300","-","-","-0.90","-0.15","580.00","20,756","1.20","22,224.41","-","-","648.95","327.05"
IDEA,"14.26","53,035","14.24","14.25","7,15,892","-","-","-0.01","-0.07","14.25","7,94,393","1.13","39,121.82","-","-","15.79","7.71"
PHOENIXLTD,"1,855.00","10","1,868.00","1,878.00","4,981","-","-","23.00","1.24","1,878.00","5,632","1.06","34,965.46","-","-","2,169.80","1,465.60"
