"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","%CHANGE","VOLUME","VALUE","CA "
"HDFCLIFE",532.9,560.95,529.95,530.2,557,5.05,9372065,5195310512.1,"19-Jun-2026"
"BHEL",411.55,430.75,410.8,410.6,429.2,4.53,8682037,3686653371.31,"17-Jul-2026"
"TMPV",301,319.8,299.75,301,314.5,4.49,11897633,3702424413.27,"19-Jun-2026"
"MFSL",1480.1,1569.5,1473.6,1487.6,1554,4.46,958327,1476695657.57,"16-Aug-2024"
"ICICIPRULI",470,496.9,468.75,470,490.5,4.36,2550434,1246779660.9,"05-Jun-2026"
"SBILIFE",1693,1771.1,1689,1697.9,1766.9,4.06,1760498,3080484190.44,"06-Mar-2026"
"KAYNES",3402,3562,3395,3385,3520,3.99,1241904,4375600363.2,"08-Sep-2023"
"CDSL",1299,1357.5,1296.3,1299,1349.4,3.88,1822724,2447936559.24,"17-Jul-2026"
"POWERINDIA",30435,31325,30380,30200,31230,3.41,98632,3048160808.16,"21-Aug-2026"
"ALKEM",5175,5361,5161.5,5175,5348.5,3.35,231840,1228128350.4,"07-Aug-2026"
"CGPOWER",859,883.4,856.3,851.55,880,3.34,2341999,2043066247.64,"30-Jan-2026"
"BLUESTARCO",1499.9,1558,1492,1504,1553,3.26,517409,798362087,"17-Jul-2026"
"ICICIGI",1440,1498.1,1435.5,1440,1486.7,3.24,728100,1077595281,"29-May-2026"
"DRREDDY",1140,1189.8,1140,1140,1175,3.07,2311919,2705869997.6,"10-Jul-2026"
"SBICARD",616,641.55,616,618.1,636.95,3.05,1811826,1147030804.08,"11-Mar-2026"
"AUROPHARMA",1634,1692.3,1634,1643,1690,2.86,758767,1273188262.99,"17-Apr-2026"
"ADANIENSOL",1346,1386.8,1336.5,1349.2,1386.8,2.79,1182458,1606203648.88,"14-Jun-2024"
"GMRAIRPORT",92.46,95.72,92.46,92.46,95.04,2.79,11553632,1096093067.84,"05-Sep-2024"
"DLF",623.05,644.55,622,622.8,640,2.76,2477811,1581239867.76,"27-Jul-2026"
"LUPIN",2052.6,2098.1,2046.3,2045,2098.1,2.6,525907,1091467387.8,"17-Jul-2026"
